                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9078,                 4.0332,                 1.0805,                 2.3288,                 4.3803,                 1.0473,                0.01135,                0.05975,                0.00936,                0.00547,                 1.8778,                 4.3482,                 1.0107,                 2.4083,                 4.5216,                 1.0239,             0.00022134,             0.00022134,             0.00022134
                      2,                 2.0041,                 2.8965,                  1.058,                 2.3441,                 3.3876,                  1.022,                0.01571,                0.08021,                0.02067,                0.01415,                 2.0077,                 3.9467,                  1.063,                  2.403,                 4.2466,                 1.0297,             0.00040529,             0.00040529,             0.00040529
                      3,                 1.9553,                  2.364,                  1.052,                 2.3152,                 2.9648,                  1.018,                0.03344,                0.13427,                0.04112,                0.02247,                 1.9827,                 3.2295,                 1.0672,                 2.3669,                 3.7884,                 1.0254,               0.000544,               0.000544,               0.000544
                      4,                 1.8305,                 2.0624,                 1.0369,                 2.2617,                 2.7502,                 1.0146,                0.03626,                0.16475,                0.06051,                 0.0319,                 1.8723,                 2.2854,                 1.0629,                 2.2911,                  2.951,                 1.0244,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.7826,                 1.9113,                 1.0238,                 2.2419,                 2.6052,                 1.0012,                0.59336,                0.08694,                0.06705,                 0.0321,                 1.8476,                 1.9691,                 1.0611,                 2.3196,                 2.5469,                 1.0332,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.7592,                 1.8382,                 1.0158,                 2.2491,                 2.5372,                0.99397,                0.39668,                0.11554,                0.07377,                0.03707,                 1.8336,                 1.8689,                 1.0891,                 2.2987,                 2.4466,                 1.0507,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.7439,                 1.7601,                 1.0165,                 2.2219,                 2.4413,                0.99873,                0.43548,                0.13092,                 0.0833,                0.04218,                 1.7437,                 1.8108,                 1.0497,                 2.2724,                 2.3719,                 1.0351,             0.00036057,             0.00036057,             0.00036057
                      8,                 1.6779,                 1.6874,                 1.0035,                 2.2086,                 2.3876,                0.98802,                0.42584,                0.14151,                0.09306,                0.04909,                 1.7275,                 1.7331,                 1.0264,                 2.2702,                 2.3313,                 1.0173,             0.00028988,             0.00028988,             0.00028988
                      9,                 1.6572,                 1.6421,                0.99043,                  2.163,                 2.3281,                0.97857,                0.43139,                0.13535,                0.09943,                0.05304,                 1.7216,                 1.7025,                 1.0138,                 2.2556,                 2.2998,                 1.0093,              0.0002192,              0.0002192,              0.0002192
                     10,                 1.6308,                 1.5871,                0.98388,                 2.1341,                 2.2832,                0.97668,                0.44236,                0.14719,                 0.1036,                0.05564,                 1.7237,                 1.6462,                 1.0242,                 2.2397,                 2.2694,                 1.0124,             0.00014851,             0.00014851,             0.00014851
