                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0734,                 3.0227,                 1.0803,                 2.4094,                 3.5344,                  1.037,                0.00833,                0.03416,                0.01445,                0.00591,                 2.1194,                 3.4822,                 1.0424,                  2.555,                 3.6551,                 1.0451,             0.00051677,             0.00051677,             0.00051677
                      2,                 2.0396,                 1.8321,                 1.0722,                 2.4136,                  2.512,                 1.0207,                0.02821,                0.09802,                0.07809,                0.04645,                 1.9965,                 3.0228,                 1.0528,                 2.4197,                 3.4089,                 1.0341,             0.00094624,             0.00094624,             0.00094624
                      3,                 1.9141,                 1.5143,                 1.0653,                  2.367,                 2.2229,                 1.0364,                0.05209,                0.20022,                0.12186,                0.07069,                 1.9039,                 2.2845,                 1.0867,                 2.3707,                  2.904,                 1.0645,              0.0012701,              0.0012701,              0.0012701
                      4,                 1.8657,                 1.4124,                 1.0687,                  2.348,                 2.0811,                 1.0361,                0.36132,                0.21691,                0.20575,                0.10239,                 1.9786,                 1.4935,                 1.0569,                 2.5553,                 2.0589,                  1.056,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.8099,                 1.3691,                 1.0462,                 2.3383,                 2.0064,                 1.0275,                0.41457,                0.26693,                0.26398,                0.11788,                 1.8557,                 1.3442,                 1.0425,                 2.4011,                 1.8363,                 1.0336,              0.0011719,              0.0011719,              0.0011719
                      6,                 1.7917,                 1.3424,                 1.0363,                 2.3378,                 1.9659,                 1.0109,                0.36207,                0.28004,                0.25624,                 0.1206,                 1.8206,                 1.2516,                 1.0506,                 2.3009,                 1.7912,                 1.0374,              0.0010069,              0.0010069,              0.0010069
                      7,                 1.7532,                 1.2782,                 1.0263,                 2.2646,                 1.8535,                 1.0036,                0.40483,                0.30676,                0.29308,                0.13753,                 1.7515,                 1.1744,                 1.0172,                 2.3257,                 1.7077,                 1.0156,             0.00084184,             0.00084184,             0.00084184
                      8,                 1.6912,                 1.2055,                 1.0196,                 2.2609,                 1.7935,                 1.0026,                0.38922,                0.32388,                0.29677,                 0.1453,                 1.7224,                 1.1331,                0.99684,                 2.2791,                 1.6461,                 1.0004,              0.0006768,              0.0006768,              0.0006768
                      9,                 1.6757,                 1.1782,                 1.0044,                 2.2317,                 1.7477,                0.99394,                0.42955,                0.32628,                0.31373,                0.15138,                 1.7164,                 1.1241,                0.99102,                 2.2935,                 1.6184,                0.99572,             0.00051177,             0.00051177,             0.00051177
                     10,                 1.6218,                 1.1215,                0.99352,                 2.1745,                 1.6861,                0.98712,                0.42326,                0.32862,                0.32168,                0.16433,                 1.6427,                 1.0604,                0.98368,                 2.2093,                 1.5712,                0.99317,             0.00034674,             0.00034674,             0.00034674
